Project	SampleID	size_fraction	Date	Time	tide_amplitude	T	S	O
MBO_DATA_CHALLENGE	RA090107_3	> 3 µm	07/01/2009	13:10:00	53	9.4	35.232	6.27
MBO_DATA_CHALLENGE	RA090120_3	> 3 µm	20/01/2009	12:05:00	34	9.38	35.293	6.44
MBO_DATA_CHALLENGE	RA090205_3	> 3 µm	05/02/2009	13:47:00	45	8.8	35.11	6.29
MBO_DATA_CHALLENGE	RA090218_3	> 3 µm	18/02/2009	11:01:00	27	8.9	35.022	6.34
MBO_DATA_CHALLENGE	RA090306_3	> 3 µm	06/03/2009	12:47:00	42	9.1	34.881	6.39
MBO_DATA_CHALLENGE	RA090320_3	> 3 µm	20/03/2009	12:06:00	24	9.8	NA	6.15
MBO_DATA_CHALLENGE	RA090403_3	> 3 µm	03/04/2009	11:00:00	43	9.85	34.947	6.51
MBO_DATA_CHALLENGE	RA090416_3	> 3 µm	16/04/2009	08:46:00	43	10.48	34.987	6.48
MBO_DATA_CHALLENGE	RA090504_3	> 3 µm	04/05/2009	13:37:00	60	11.3	35.065	6.62
MBO_DATA_CHALLENGE	RA090518_3	> 3 µm	18/05/2009	11:34:00	38	12.05	35.134	6.28
MBO_DATA_CHALLENGE	RA090602_3	> 3 µm	02/06/2009	12:54:00	57	13	35.215	6.19
MBO_DATA_CHALLENGE	RA090616_3	> 3 µm	16/06/2009	10:34:00	46	13.6	35.262	6.17
MBO_DATA_CHALLENGE	RA090701_3	> 3 µm	01/07/2009	12:02:00	49	14.5	35.309	6.32
MBO_DATA_CHALLENGE	RA090716_3	> 3 µm	16/07/2009	10:39:00	48	15	35.323	5.96
MBO_DATA_CHALLENGE	RA090731_3	> 3 µm	31/07/2009	12:27:00	36	15.7	35.323	5.66
MBO_DATA_CHALLENGE	RA090814_3	> 3 µm	14/08/2009	09:54:00	49	15.75	35.313	5.56
MBO_DATA_CHALLENGE	RA090828_3	> 3 µm	28/08/2009	10:14:00	35	15.85	35.336	5.43
MBO_DATA_CHALLENGE	RA090914_3	> 3 µm	14/09/2009	12:44:00	45	16.1	35.344	5.52
MBO_DATA_CHALLENGE	RA090928_3	> 3 µm	28/09/2009	12:47:00	30	16.95	35.231	5.47
MBO_DATA_CHALLENGE	RA091012_3	> 3 µm	12/10/2009	10:53:00	43	15.75	35.309	5.36
MBO_DATA_CHALLENGE	RA091027_3	> 3 µm	27/10/2009	11:36:00	30	14.9	35.331	5.43
MBO_DATA_CHALLENGE	RA091110_3	> 3 µm	10/11/2009	10:44:00	52	13.35	35.313	5.7
MBO_DATA_CHALLENGE	RA091126_3	> 3 µm	26/11/2009	11:37:00	37	12.8	35.236	5.87
MBO_DATA_CHALLENGE	RA091210_3	> 3 µm	10/12/2009	11:30:00	56	12.15	35.224	5.9
MBO_DATA_CHALLENGE	RA091223_3	> 3 µm	23/12/2009	08:47:00	53	10.95	35.201	5.99
MBO_DATA_CHALLENGE	RA100111_3	> 3 µm	11/01/2010	14:26:00	50	9.2	35.202	6.27
MBO_DATA_CHALLENGE	RA100125_3	> 3 µm	25/01/2010	11:47:00	39	9.35	35.191	6.26
MBO_DATA_CHALLENGE	RA100208_3	> 3 µm	08/02/2010	12:36:00	34	9.25	35.16	6.31
MBO_DATA_CHALLENGE	RA100219_3	> 3 µm	19/02/2010	07:47:00	75	8.75	35.104	6.32
MBO_DATA_CHALLENGE	RA100309_3	> 3 µm	09/03/2010	12:01:00	29	8.3	34.927	6.6
MBO_DATA_CHALLENGE	RA100324_3	> 3 µm	24/03/2010	11:00:00	40	9	34.976	6.56
MBO_DATA_CHALLENGE	RA100407_3	> 3 µm	07/04/2010	11:19:00	30	9.58	34.919	6.45
MBO_DATA_CHALLENGE	RA100422_3	> 3 µm	22/04/2010	10:59:00	47	9.95	34.901	6.48
MBO_DATA_CHALLENGE	RA100506_3	> 3 µm	06/05/2010	10:29:00	36	10.75	34.964	NA
MBO_DATA_CHALLENGE	RA100521_3	> 3 µm	21/05/2010	10:47:00	58	11.55	35.015	6.32
MBO_DATA_CHALLENGE	RA100607_3	> 3 µm	07/06/2010	13:48:00	44	12.9	35.08	6.28
MBO_DATA_CHALLENGE	RA100621_3	> 3 µm	21/06/2010	12:36:00	58	13.55	35.171	6.04
MBO_DATA_CHALLENGE	RA100706_3	> 3 µm	06/07/2010	11:39:00	40	14.45	35.233	6.03
MBO_DATA_CHALLENGE	RA100720_3	> 3 µm	20/07/2010	11:56:00	49	14.85	35.279	6.09
MBO_DATA_CHALLENGE	RA100805_3	> 3 µm	05/08/2010	12:02:00	38	15.95	35.352	6.08
MBO_DATA_CHALLENGE	RA100819_3	> 3 µm	19/08/2010	12:53:00	38	15.87	35.377	5.38
MBO_DATA_CHALLENGE	RA100903_3	> 3 µm	03/09/2010	11:26:00	35	16	35.363	5.47
MBO_DATA_CHALLENGE	RA100916_3	> 3 µm	16/09/2010	10:45:00	35	15.2	35.414	5.42
MBO_DATA_CHALLENGE	RA101001_3	> 3 µm	01/10/2010	09:33:00	41	14.68	35.387	5.42
MBO_DATA_CHALLENGE	RA101015_3	> 3 µm	15/10/2010	10:10:00	35	14.4	35.385	5.47
MBO_DATA_CHALLENGE	RA101029_3	> 3 µm	29/10/2010	08:25:00	56	13.85	35.375	5.56
MBO_DATA_CHALLENGE	RA101129_3	> 3 µm	29/11/2010	10:28:00	56	12.15	35.272	5.77
MBO_DATA_CHALLENGE	RA101215_3	> 3 µm	15/12/2010	11:45:00	37	10.7	35.196	5.99
MBO_DATA_CHALLENGE	RA110113_3	> 3 µm	13/01/2011	11:08:00	38	9.9	35.272	6.22
MBO_DATA_CHALLENGE	RA110128_3	> 3 µm	28/01/2011	12:15:00	46	9.3	35.231	6.41
MBO_DATA_CHALLENGE	RA110211_3	> 3 µm	11/02/2011	09:46:00	43	9.48	35.258	6.38
MBO_DATA_CHALLENGE	RA110225_3	> 3 µm	25/02/2011	09:58:00	53	9.92	35.162	6.29
MBO_DATA_CHALLENGE	RA110314_3	> 3 µm	14/03/2011	11:39:00	34	9.54	35.051	6.4
MBO_DATA_CHALLENGE	RA110328_3	> 3 µm	28/03/2011	12:42:00	37	10.15	35.05	6.41
MBO_DATA_CHALLENGE	RA110412_3	> 3 µm	12/04/2011	11:35:00	40	10.98	35.062	6.42
MBO_DATA_CHALLENGE	RA110426_3	> 3 µm	26/04/2011	12:17:00	38	11.81	35.083	7.28
MBO_DATA_CHALLENGE	RA110511_3	> 3 µm	11/05/2011	11:23:00	51	12.58	35.143	6.44
MBO_DATA_CHALLENGE	RA110525_3	> 3 µm	25/05/2011	12:10:00	45	13.7	35.207	6.17
MBO_DATA_CHALLENGE	RA110624_3	> 3 µm	24/06/2011	11:45:00	42	14.3	35.273	5.96
MBO_DATA_CHALLENGE	RA110711_3	> 3 µm	11/07/2011	13:25:00	58	14.88	35.323	5.99
MBO_DATA_CHALLENGE	RA110725_3	> 3 µm	25/07/2011	12:25:00	34	15.09	35.372	5.72
MBO_DATA_CHALLENGE	RA110808_3	> 3 µm	08/08/2011	12:23:00	48	15.49	35.389	5.72
MBO_DATA_CHALLENGE	RA110823_3	> 3 µm	23/08/2011	11:23:00	31	15.51	35.412	5.71
MBO_DATA_CHALLENGE	RA110921_3	> 3 µm	21/09/2011	10:59:00	32	14.72	35.492	5.52
MBO_DATA_CHALLENGE	RA111004_3	> 3 µm	04/10/2011	10:25:00	48	15.07	35.474	5.4
MBO_DATA_CHALLENGE	RA111020_3	> 3 µm	20/10/2011	10:23:00	38	14.62	35.477	5.45
MBO_DATA_CHALLENGE	RA111102_3	> 3 µm	02/11/2011	11:20:00	51	14.31	35.432	5.5
MBO_DATA_CHALLENGE	RA111118_3	> 3 µm	18/11/2011	09:06:00	49	13.8	35.416	5.58
MBO_DATA_CHALLENGE	RA111205_3	> 3 µm	05/12/2011	15:30:00	44	13.28	35.438	5.78
MBO_DATA_CHALLENGE	RA111219_3	> 3 µm	19/12/2011	13:32:00	56	12.5	35.533	5.88
MBO_DATA_CHALLENGE	RA120104_3	> 3 µm	04/01/2012	13:40:00	39	12.08	35.463	6.12
MBO_DATA_CHALLENGE	RA120118_3	> 3 µm	18/01/2012	12:29:00	53	11.46	35.474	6.06
MBO_DATA_CHALLENGE	RA120201_3	> 3 µm	01/02/2012	11:34:00	32	10.92	35.463	6.15
